All sky irradiance,Clear sky irradiance,ALLSKY ICI,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_UV_INDEX,CLRSKY_SFC_PAR_TOT
3.58,3.68,0.7,63.57,0.55,66.2
3.2,3.6,0.62,57.87,0.53,65.5
2.52,3.46,0.49,47.44,0.5,64.25
2.93,3.48,0.57,55.34,0.49,65.82
0.78,3.42,0.15,16.23,0.21,64.96
2.17,3.5,0.41,41.66,0.44,65.43
2.26,3.68,0.43,42.86,0.43,68.17
3.26,3.73,0.62,59.17,0.48,68.44
2.89,3.58,0.55,53.73,0.49,66.09
2.13,3.39,0.41,40.72,0.4,62.63
3.08,3.76,0.58,56.35,0.48,68.21
3.95,3.93,0.74,69.11,0.52,69.53
2.92,3.76,0.54,53.56,0.49,68.39
3.25,3.83,0.6,59.41,0.59,70.02
2.12,3.68,0.39,40.37,0.45,69.18
3.2,3.68,0.59,60.1,0.56,69.16
3.27,3.74,0.59,60.68,0.6,69.2
2.23,3.82,0.4,43.11,0.51,71.84
2.72,3.87,0.48,51.84,0.57,72.69
3.21,4.01,0.57,59.95,0.64,74.32
3.38,4.04,0.59,60.84,0.64,72.64
3.04,4.04,0.53,56.17,0.65,73.69
2.11,3.9,0.37,41.01,0.53,72.7
4.11,4.14,0.71,74.34,0.68,75.78
4.18,4.22,0.72,75.23,0.67,76.65
4.24,4.36,0.72,74.97,-999,78.02
2.49,4.31,0.42,46.43,0.49,76.53
4.36,4.35,0.73,76.6,0.68,77.38
4.2,4.24,0.7,78.07,0.81,79.71
2.35,4.3,0.39,45.77,0.62,80.1
2.07,4.12,0.34,40.78,0.55,77.29
4.28,4.55,0.7,76.99,0.77,82.43
4.53,4.51,0.73,81.41,0.73,82.11
4.55,4.53,0.73,82.19,0.71,82.74
4.65,4.65,0.73,82.2,0.74,83.18
4.73,4.71,0.74,84.35,0.77,85
4.83,4.81,0.76,84.88,0.82,85.45
4.89,4.88,0.76,86.32,0.87,86.96
4.95,4.96,0.76,86.76,-999,87.85
5.02,5,0.77,88.11,0.96,88.66
4.89,5.04,0.74,85.15,0.93,88.21
4.99,5.01,0.75,87.45,-999,88.72
4.94,4.94,0.73,87.69,1.01,88.61
4.31,4.97,0.63,76.51,0.98,88.18
4.49,5.04,0.66,80.36,1.01,89.71
5.13,5.11,0.74,92.14,1.03,92.73
5.31,5.29,0.77,94.09,1.18,94.62
4.41,5.16,0.63,80.85,1.13,94.46
3.69,5.01,0.52,70.43,1.01,94.69
5.22,5.31,0.73,94.14,1.11,96.69
5.23,5.29,0.73,93.91,-999,95.95
5.28,5.35,0.73,94.73,1.12,96.76
5.33,5.44,0.73,95.31,1.24,98.06
4.62,5.52,0.62,83.45,1.16,98.62
5.61,5.61,0.76,98.99,1.18,99.79
5.62,5.62,0.75,99.2,1.15,99.98
5.14,5.56,0.68,91.93,1.19,99.41
5.19,5.57,0.68,94.43,1.2,101.35
4.03,5.54,0.52,75.16,0.96,100.93
4.52,5.61,0.59,83.04,1.12,101.95
3.77,5.63,0.48,70.67,1.08,102.12
5.43,5.88,0.7,98.03,1.41,105.89
4.7,5.84,0.59,85.7,1.27,104.16
4.03,5.8,0.51,75.85,1.16,106.34
3.75,5.54,0.47,73.26,1.18,104.98
4.82,5.91,0.59,89.77,1.35,109.52
3.44,5.88,0.42,66.47,0.98,108.53
6.13,6.15,0.75,110.84,1.15,111.89
5.84,6.01,0.71,108,1.32,111.52
4.61,6.12,0.55,86.29,1.33,112.29
4.27,5.97,0.51,80.98,1.27,110.14
5.6,6.17,0.66,102.34,1.27,112.65
5.49,6.07,0.65,102.2,1.38,112.62
4.08,6.11,0.48,78.84,1.19,115.23
6.34,6.41,0.73,115.44,1.58,117.4
6.25,6.38,0.73,114.54,1.58,117.36
5.88,6.48,0.67,108.51,1.71,118.88
5.97,6.53,0.68,109.95,1.75,119.39
4.37,6.57,0.49,83.34,1.41,120.36
5.07,6.55,0.57,94.95,1.53,120.03
4.63,6.61,0.52,88.43,1.45,121.98
6.51,6.81,0.73,119.29,1.73,124.92
6.91,6.92,0.77,124.87,1.68,125.63
6.94,6.96,0.77,123.93,1.66,124.76
6.38,6.77,0.7,116.64,1.61,123.62
6.35,6.83,0.69,117.09,1.62,125.41
4.45,6.82,0.48,86.23,1.33,125.95
4.12,6.86,0.45,79.76,1.26,126.08
6.17,7.12,0.66,113.48,1.5,129.84
6.21,6.92,0.66,114.23,1.47,126.38
7.07,7.13,0.75,128.95,1.74,130.27
5.53,7.02,0.58,103.75,1.52,129.58
7.06,7.2,0.74,129.53,1.74,132.35
6.05,7.24,0.63,112.4,1.65,132.37
7.02,7.29,0.73,128.17,1.9,132.79
5.7,7.23,0.59,105.23,1.64,129.94
4.84,7.08,0.49,91.91,1.48,129.46
1.84,6.71,0.19,40.12,0.72,127.41
3.77,6.85,0.38,74.36,1.23,127.51
3.34,7.16,0.34,67.62,1.11,134.38
6.65,7.21,0.67,124.58,1.7,134.7
5.78,7.12,0.58,110.45,1.61,133.08
6.64,7.38,0.66,124.72,1.78,137.25
5.92,7.47,0.59,111.84,1.78,138.73
7.12,7.48,0.7,131.43,1.93,137.43
7.52,7.77,0.74,136.91,1.97,141.12
7.99,8.01,0.78,143.62,2.12,144.1
8.01,8.03,0.78,143.23,2.19,143.61
7.89,7.92,0.77,142.4,2.09,143.03
7.72,7.92,0.75,140.09,2,143.3
7.9,8,0.77,141.62,2.07,143.41
7.46,7.9,0.72,135.61,2.05,142.62
7.03,7.87,0.67,131.41,2.09,145.55
7.81,7.96,0.74,143.44,2.17,145.89
6.07,7.72,0.58,113.59,1.72,140.76
6.44,8.08,0.61,119.16,1.8,145.75
7.66,7.89,0.73,139.74,1.82,143.33
6.75,7.73,0.63,126.56,1.87,142.62
6.07,7.77,0.57,113.98,1.62,142.46
5.5,7.81,0.52,104.83,1.53,144.02
5.62,7.75,0.52,105.86,1.6,141.57
6.16,7.85,0.57,117.13,1.7,145.67
7.62,7.94,0.71,141.9,2.12,146.98
6.38,7.99,0.59,121.77,2.01,148.22
5.8,8.06,0.53,110.73,1.9,148.87
4.81,7.87,0.45,94.11,1.59,146.29
6.15,7.95,0.56,118.31,1.67,148.4
6.76,7.87,0.62,127.43,1.71,145.84
7.52,7.89,0.69,140.23,1.88,146.19
7.02,7.95,0.64,133.38,2.02,148.86
4.95,8.06,0.45,97.35,1.73,149.95
4.63,8.27,0.42,90.76,1.73,152.26
4.14,8.27,0.38,82.49,1.59,152.04
5.54,8.31,0.5,107.92,2.02,153.7
3.38,8.33,0.3,68.95,1.35,154.02
4.2,8.05,0.38,84.44,1.48,149.41
5.54,8.18,0.5,107.52,1.8,151.87
5.17,8.04,0.46,100.36,1.63,148.63
4.24,8.2,0.38,84.95,1.48,152.59
4.17,8.31,0.38,84.35,1.52,154.77
7.08,8.53,0.63,134.29,2.23,157.6
8.18,8.53,0.73,151.56,2.37,156.73
8.26,8.52,0.73,152.91,2.34,156.69
6.84,8.27,0.61,129.48,2.05,152.27
7.14,8.4,0.63,135.13,2.13,155.57
7.62,8.17,0.67,141.95,1.99,149.93
5.41,8.23,0.48,105.6,1.61,153.03
5.83,8.41,0.52,113.82,1.95,156.62
3.97,8.41,0.35,80.48,-999,157.77
5.77,8.29,0.51,112.66,1.75,154.63
5.2,8.18,0.46,102.29,1.63,151.45
3.13,8.16,0.27,65.11,-999,152.85
3.13,8.27,0.27,65.07,1.21,153.57
5.29,8.5,0.46,104.16,1.84,157.94
5.98,8.68,0.52,115.06,2.07,159.21
5.47,8.62,0.48,107.02,1.95,158.61
4.82,8.57,0.42,94.83,1.91,158.67
5.17,8.44,0.45,101.91,2.02,156.73
3.79,8.4,0.33,76.96,1.6,156.95
3.7,8.38,0.32,75.95,1.56,157.49
3.66,8.44,0.32,73.56,1.51,157.78
4.92,8.41,0.43,97.45,1.84,157.5
4.68,8.29,0.41,93.83,1.7,154.45
6.96,8.58,0.61,133.55,2.19,159.77
6.78,8.53,0.59,129.64,2.06,157.91
4.54,8.56,0.4,91.8,1.75,160.05
7.7,8.69,0.67,146.01,2.52,161.16
8.49,8.65,0.74,160.08,2.81,161.88
8.62,8.75,0.75,160.73,2.92,162.06
5.8,8.53,0.51,113.52,2.23,160.11
8.32,8.58,0.73,158.13,2.93,161.56
8.36,8.49,0.73,157.54,2.91,158.77
4.58,8.1,0.4,91.69,1.79,151.47
5.21,8.32,0.45,103.82,2.12,157.47
5.35,8.42,0.47,106.61,2.09,157.9
4.61,8.53,0.4,93.49,1.98,160.08
5.35,8.54,0.47,105.48,2.12,157.83
5.49,8.36,0.48,109.5,2.16,157.48
5.56,8.22,0.48,109.41,2.15,154.3
5.73,8.41,0.5,112.98,2.23,156.63
6.9,8.33,0.6,133.07,2.64,155.62
4.38,8.42,0.38,89.12,1.91,157.57
4.86,8.58,0.42,95.65,1.88,157.72
7.28,8.67,0.64,137.7,2.65,159.51
5.7,8.59,0.5,111.73,2.27,159.93
7.8,8.66,0.69,147.08,2.92,160.59
7.79,8.61,0.69,147.16,2.88,159.77
7.06,8.49,0.62,135.73,2.68,159
6.11,8.52,0.54,119.55,2.43,159.79
6.65,8.54,0.59,128.15,2.55,159.59
6.82,8.46,0.6,131.27,2.64,158.79
7.54,8.45,0.66,144.84,2.94,159.48
6.69,8.42,0.59,130.43,2.69,158.6
6.26,8.46,0.55,122.59,2.51,159.32
6.73,8.46,0.59,128.97,2.58,157.84
6.48,8.49,0.58,124.79,2.5,158.35
6.66,8.39,0.59,128.85,2.5,157.8
5.91,8.27,0.52,115.89,2.27,156.75
6.68,8.23,0.59,130.67,2.55,156.62
7.65,8.23,0.68,147.11,2.84,156.61
7.69,8.29,0.69,147.13,2.86,156.76
7.32,8.19,0.66,141.52,2.71,156.1
7.98,8.22,0.72,152.3,-999,156.09
8.05,8.29,0.73,152.81,2.95,156.38
7.08,8.22,0.64,134.96,2.56,154.45
6.92,8.03,0.62,134.49,2.59,152.87
5.56,7.78,0.5,110.88,2.19,150.35
7.1,7.83,0.64,139.73,2.68,152.48
7.13,7.87,0.65,139,2.62,151.84
7.49,7.81,0.68,145.2,2.65,150.32
6.13,7.63,0.56,121.26,2.26,146.24
5.91,7.45,0.54,117.18,2.26,144.35
6.74,7.6,0.62,132.48,2.54,146.84
7.15,7.72,0.66,139.14,2.51,148.66
7.17,7.69,0.66,138.12,2.39,146.44
6.78,7.69,0.62,131.55,2.38,146.66
6.24,7.87,0.58,121.41,2.33,148.8
5.25,7.94,0.48,103.33,2.04,148.88
6.19,8.11,0.58,119.23,2.35,151.04
4.76,8.08,0.45,93.59,1.95,149.97
3.88,8.06,0.36,77.62,1.62,149.2
6.46,8.09,0.61,120.95,2.21,148.47
7.42,8.04,0.7,137.97,2.45,148.13
6.18,7.9,0.59,119.23,2.15,147.92
6.15,7.57,0.59,121.12,2.23,146.05
7.3,7.6,0.7,141.02,2.52,146.22
7.05,7.55,0.67,135.96,2.41,144.58
7.53,7.67,0.72,143.62,2.53,146.19
7.53,7.81,0.73,141.7,2.48,146.24
7.48,7.74,0.72,140.87,2.45,145.13
7.31,7.71,0.71,137.73,2.46,144.23
7.32,7.6,0.71,139.07,2.4,143.7
6.47,7.47,0.63,125.01,2.17,141.91
7.01,7.45,0.69,132.73,2.23,140.08
7.2,7.59,0.71,133.76,2.23,139.91
6.51,7.44,0.64,121.46,2.06,136.59
6.39,7.02,0.63,121.06,2.04,131.28
5.75,7.17,0.57,108.58,1.89,131.88
5.34,7.33,0.53,102.22,1.9,135.05
4.32,7.25,0.43,84.77,1.59,135.37
5.14,7.06,0.52,99.95,1.77,133.39
5.88,7.08,0.59,113.3,2,133.4
6.11,7.07,0.62,116.84,2.07,133.29
5.7,7.12,0.59,110.44,2.04,134.94
4.3,7.2,0.44,85.49,1.7,135.34
4.95,7.35,0.51,95.42,1.81,136.05
5.32,7.26,0.55,100.98,1.9,133.87
6.12,7.11,0.64,114.86,2.03,131.6
5.42,7.07,0.57,103.24,1.84,131.31
6.55,7.09,0.69,121.1,-999,130.53
4.35,7.12,0.46,84.29,1.59,131.59
5.63,6.95,0.59,106.91,1.93,130
6.47,6.88,0.69,121.6,2.17,128.98
5.67,6.85,0.61,108.84,1.95,129.26
5.73,6.87,0.62,109.06,1.97,128.48
3.04,6.83,0.33,61.68,1.24,127.88
3.83,6.7,0.42,75.3,1.36,125.95
6.67,6.85,0.73,122.58,1.95,126.16
6.8,6.83,0.75,123.88,1.95,125.09
6.62,6.78,0.73,120.93,1.93,124.26
5.96,6.61,0.66,110.23,1.76,121.71
3.75,6.44,0.42,74.56,1.34,121.48
2.31,6.23,0.26,47.68,0.9,119.95
1.58,5.93,0.18,34.75,0.71,115.95
3.83,5.85,0.44,77.8,1.41,114.59
6.01,6.52,0.7,111.23,1.88,120.52
6.36,6.43,0.73,117.61,1.78,119.58
6.42,6.41,0.75,117.01,1.74,117.55
6.45,6.44,0.76,117.79,1.77,118.38
5.35,6.12,0.63,100.84,-999,114.41
5.37,5.92,0.64,102.13,1.59,112.49
5.88,5.92,0.7,111.37,1.62,112.71
5.6,5.91,0.67,106.58,1.53,112.79
5.69,5.86,0.69,108.52,-999,112.11
5.81,5.95,0.71,109.65,1.65,112.8
5.73,6.09,0.7,105.75,1.68,112.22
5.68,5.92,0.7,105.47,1.59,110.18
5.1,5.84,0.63,96.41,1.48,109.68
5.05,5.85,0.63,94.59,1.47,108.43
5.76,5.82,0.73,105.08,1.42,106.74
5.1,5.73,0.65,93.16,1.28,103.88
5.69,5.69,0.73,104.02,1.37,104.78
5.58,5.62,0.72,102.77,1.45,104.22
5.45,5.52,0.71,101.2,1.41,103.2
3.17,5.53,0.41,62.17,1.04,103.59
3.4,5.5,0.45,65.88,1.09,102.48
4.98,5.44,0.66,92.55,1.34,100.84
4.37,5.42,0.59,82.49,1.31,100.82
3.87,5.32,0.52,74.62,1.2,100.9
4.19,5.2,0.57,81.2,1.3,99.77
3.81,5.2,0.52,74.23,1.21,99.05
5.22,5.25,0.73,97.09,1.34,98.39
5.18,5.22,0.72,95.39,1.3,97
5.31,5.33,0.75,96.25,1.32,97.33
5.01,5.2,0.71,91.24,-999,95.43
4.97,5.14,0.71,90.87,-999,94.73
2.36,4.57,0.34,47.38,0.82,86.11
1.73,4.64,0.25,35.72,0.62,88.33
4.76,4.82,0.7,89.39,1.16,91.34
4.58,4.81,0.67,85.34,1.2,90.21
2.66,4.47,0.4,52.02,0.88,83.42
2.95,4.56,0.45,58.38,0.98,88.55
4.01,4.49,0.61,77.42,1.07,86.6
2.48,4.5,0.38,49.65,0.87,86.62
3.68,4.67,0.56,69.27,1.14,86.71
4.46,4.6,0.69,83.4,1.16,86.95
4.68,4.68,0.73,85.35,1.09,86.22
4.6,4.58,0.73,84.28,0.98,84.94
4.45,4.49,0.7,80.51,0.94,82.17
4.2,4.43,0.67,76.73,0.93,81.45
4.12,4.45,0.66,75.47,0.95,82
4.14,4.4,0.67,75.45,0.92,80.8
4.22,4.33,0.69,77.26,0.95,80.05
4.35,4.38,0.72,78.07,0.9,79.7
4.45,4.42,0.74,79.55,0.88,80.05
4.38,4.34,0.73,78.76,0.82,79.12
3.4,4.16,0.57,62.62,0.73,76.2
4.11,4.18,0.7,74.65,0.8,76.99
4.16,4.18,0.71,75.09,0.84,76.53
2.96,4.17,0.51,54.47,0.77,75.56
3.07,4.07,0.53,58.24,0.8,76.24
4.17,4.16,0.73,75.62,0.85,76.65
4.16,4.14,0.73,75.59,0.86,76.33
2.73,3.95,0.48,51.01,0.71,72.99
1.87,3.75,0.34,36.38,0.55,70.55
2.83,3.89,0.51,53.41,0.69,73.3
3.92,3.92,0.71,70.89,0.76,71.89
3.93,3.97,0.71,70.62,0.78,72.3
4.07,4.05,0.74,71.14,0.77,71.77
4.04,4.02,0.74,70.2,0.73,70.93
2.68,3.68,0.49,49.7,0.62,67.37
2.97,3.65,0.55,55.34,0.66,68.29
2.53,3.66,0.47,48.18,0.6,69.26
3.87,3.85,0.73,69.12,0.73,69.84
3.91,3.88,0.73,69.41,0.73,70.04
2.76,3.62,0.52,51.48,0.59,67.09
3.79,3.8,0.73,67.81,0.62,69.02
3.82,3.82,0.73,68.04,0.59,69.09
3.76,3.74,0.73,67.48,0.62,68.2
2.54,3.59,0.49,47.74,0.59,66.64
2.06,3.44,0.4,39.06,0.51,63.76
2.67,3.6,0.52,50.12,0.6,67.27
3.55,3.56,0.7,66.3,0.68,67.39
2.4,3.49,0.47,45.73,0.57,65.94
2,3.46,0.39,38.85,0.48,66.5
2.95,3.4,0.58,56.66,0.6,65.68
2.69,3.46,0.53,50.8,0.58,65.5
3.03,3.48,0.6,56.38,0.62,64.73
3.23,3.56,0.64,59.09,0.61,65.55
1.88,3.36,0.38,36.08,0.47,63.08
1.44,3.39,0.29,28.41,0.34,65.08
3.72,3.73,0.74,65.47,0.59,66.59
3.73,3.71,0.74,64.61,0.56,65.29
3.83,3.8,0.76,66.2,0.55,66.8
3.07,3.47,0.61,56.38,0.54,64.13
1.45,3.3,0.29,28.62,0.39,63.03
1.42,3.26,0.28,27.46,0.37,61.41
1.59,3.39,0.31,30.48,0.39,63.24
2.98,3.57,0.59,54.66,0.54,65.53
3.44,3.57,0.68,61.96,0.5,65.29
2.89,3.52,0.57,52.91,0.55,64.2
3.61,3.6,0.71,64.63,0.6,65.55
3.61,3.66,0.71,63.43,0.61,65.08
3.49,3.5,0.69,63.86,0.61,65.15
2.3,3.29,0.45,44.01,0.49,61.65
1.29,3.35,0.25,25.42,0.33,62.43
3.25,3.52,0.63,59.11,0.54,64.55
1.69,3.44,0.33,33.02,0.39,64.08
1.8,3.41,0.35,35.09,0.42,64.11
3.3,3.56,0.64,61.81,0.66,67.23
1.36,3.46,0.26,27.49,0.38,66.26
3.68,3.69,0.7,66.73,0.64,67.86
2.89,3.61,0.55,54.59,0.62,67.83
3.57,3.76,0.68,65.05,0.69,69.08
1.82,3.56,0.34,35.66,0.51,67.96
3.37,3.63,0.63,61.98,0.67,67.41
2.11,3.69,0.39,40.62,0.52,69.66
1.26,3.49,0.23,25.32,0.34,64.87
2.94,3.8,0.55,53.77,0.49,69.31
3.77,3.75,0.7,69,0.55,69.59
2.44,3.65,0.45,45.81,0.52,66.57
3.55,3.78,0.64,64.77,0.67,69.51
4,4.01,0.72,71.66,0.62,72.9
3.13,3.87,0.56,57.68,0.54,70.9
2.91,3.9,0.52,54.52,0.62,71.94
0.9,3.71,0.16,18.74,0.25,69.86
3.78,4.03,0.66,69.35,0.75,74.69
1.59,3.77,0.28,32.03,0.48,71.83
2.21,4.1,0.38,42.43,0.56,76.13
3.43,4.14,0.59,62.91,0.54,75.62
4.31,4.31,0.73,76.94,0.65,77.82
4.31,4.3,0.73,76.55,0.74,77.32
4.51,4.52,0.76,79.51,0.8,80.62
4.39,4.5,0.73,77.78,-999,80.59
4.51,4.49,0.75,80.67,0.77,81.2
4.42,4.52,0.73,78.59,-999,81.32
4.38,4.57,0.71,77.35,0.89,81.48
4.55,4.69,0.73,79.99,0.94,83.13
3.94,4.42,0.63,73.27,0.91,82.05
2.75,4.41,0.44,53.06,0.74,83.7
4.29,4.59,0.68,78.78,1.02,84.82
2.08,4.41,0.33,40.51,0.63,80.39
1.77,4.28,0.27,35.44,0.59,81.14
3.14,4.55,0.48,59.77,0.9,85.97
3,4.55,0.46,58.38,0.91,87.02
3.28,4.62,0.5,63.12,0.95,86.82
2.51,4.66,0.38,48.73,0.8,86.59
3.4,4.81,0.51,64.62,0.97,89.52
4.87,4.91,0.72,88.39,0.92,90.09
4.7,4.92,0.69,85.95,0.87,90.35
3.71,4.88,0.54,69.74,0.81,90.22
4.41,5.1,0.63,80.57,0.91,92.93
4.01,5.03,0.58,75.5,0.95,93.32
1.44,4.89,0.2,30.12,0.46,92.65
3.66,5.02,0.52,69.34,0.83,94.24
3.57,4.99,0.5,67.53,0.82,92.9
4.78,5.03,0.66,90.28,1.23,95.39
4.76,5.25,0.66,88.95,1.29,98.41
4.47,5.38,0.61,82.16,1.23,98.42
5.54,5.65,0.75,98.91,1.31,101.64
5.61,5.63,0.75,99.95,1.34,101.25
5.37,5.55,0.71,97.02,1.37,100.73
3.18,5.36,0.42,61.34,-999,99.3
0.78,5.02,0.1,17.01,0.27,94.48
5.48,5.71,0.71,98.88,1.23,103.62
5.77,5.76,0.74,103.27,1.22,103.93
5.95,5.99,0.77,105.55,1.23,106.87
5.93,6.02,0.75,104.62,1.27,106.71
4.13,5.51,0.52,75.21,1.02,97.04
4.42,5.78,0.55,83.17,1.29,106.88
6.17,6.17,0.77,111.12,1.49,111.84
6.08,6.09,0.75,110.18,1.54,111.05
6.11,6.13,0.75,110.5,1.59,111.62
6.23,6.24,0.76,111.74,1.59,112.7
5.72,6.22,0.69,103.17,1.57,111.6
4.84,6.22,0.58,89.68,1.58,112.17
3.97,6.2,0.48,75.73,1.32,113.21
3.71,6.33,0.44,71.31,1.23,115.41
5.41,6.36,0.63,100.63,1.59,116.84
4.85,6.27,0.56,91.24,1.47,116.11
5.32,6.4,0.62,98.7,1.57,117.43
3.83,6.42,0.44,73.2,1.23,117.13
5.4,6.5,0.62,100.34,1.51,119.4
4.57,6.5,0.52,87.55,1.41,120.2
5.26,6.57,0.59,98.46,1.66,121.05
5.23,6.34,0.59,101.34,1.8,120.93
4.95,6.56,0.55,93.84,1.53,121.57
6.55,6.79,0.73,119.23,1.69,123.57
6.69,6.74,0.73,123.09,1.79,124.45
5.07,6.7,0.55,96.88,1.63,124.91
5.18,6.55,0.56,98.62,1.59,122.29
5.71,6.89,0.62,106.76,1.82,126.92
6.93,7.02,0.74,126.79,1.78,128.62
7.14,7.17,0.77,128.87,1.84,129.8
5.26,7.05,0.56,98.65,1.52,129.74
7.16,7.24,0.76,129.64,1.73,131.37
7.15,7.16,0.75,130.55,1.67,131.27
7.09,7.14,0.74,129.82,1.82,131.17
4.12,7.17,0.43,80.57,1.4,132.32
6.49,7.23,0.67,120,1.77,132.64
7,7.28,0.72,129.19,1.86,134.34
6.06,7.29,0.62,111.67,1.73,132.04
6.66,7.29,0.68,121.79,1.83,132.1
6.2,7.3,0.63,115.9,1.88,135.25
6.79,7.42,0.69,123.5,1.75,133.99
7.29,7.52,0.73,131.7,1.88,135.52
7.09,7.35,0.71,130.24,2.02,134.47
7.38,7.52,0.73,136.16,2.09,138.82
6.93,7.46,0.69,129.2,2.07,138.59
7.43,7.65,0.73,135.12,2.12,138.66
7.66,7.72,0.76,137.62,2.27,138.78
7.21,7.77,0.71,131.29,2.27,140.33
6.89,7.47,0.67,131.47,2.23,141.03
5.91,7.45,0.58,114.59,2.13,141.04
6.83,7.82,0.66,126.34,2.33,142.57
7.74,7.9,0.75,141.23,2.39,143.91
